current time 20230518_185959
creating new summary file
argv: ['--local_rank=0', '--logdir=./checkpoints', '--dataset=dtu_yao', '--trainpath=/media/yons/10T1/wanglina/cas_training/dtu', '--ndepths', '48,32,8', '--depth_inter_r', '4,2,1', '--dlossw', '0.5,1.0,2.0', '--batch_size', '2', '--eval_freq', '3', '--trainlist', 'lists/dtu/train.txt', '--testlist', 'lists/dtu/test.txt', '--cost_aggregation', '91', '--numdepth=192']
################################  args  ################################
mode      	train                         	<class 'str'>       
model     	mvsnet                        	<class 'str'>       
device    	cuda                          	<class 'str'>       
datafile  	tank                          	<class 'str'>       
dataset   	dtu_yao                       	<class 'str'>       
trainpath 	/media/yons/10T1/wanglina/cas_training/dtu	<class 'str'>       
testpath  	/media/yons/10T1/wanglina/cas_training/dtu	<class 'str'>       
trainlist 	lists/dtu/train.txt           	<class 'str'>       
testlist  	lists/dtu/test.txt            	<class 'str'>       
epochs    	30                            	<class 'int'>       
lr        	0.001                         	<class 'float'>     
lrepochs  	10,12,14:2                    	<class 'str'>       
wd        	0.0                           	<class 'float'>     
batch_size	2                             	<class 'int'>       
numdepth  	192                           	<class 'int'>       
interval_scale	1.06                          	<class 'float'>     
loadckpt  	None                          	<class 'NoneType'>  
logdir    	./checkpoints                 	<class 'str'>       
resume    	False                         	<class 'bool'>      
summary_freq	50                            	<class 'int'>       
save_freq 	1                             	<class 'int'>       
eval_freq 	3                             	<class 'int'>       
seed      	1                             	<class 'int'>       
pin_m     	False                         	<class 'bool'>      
local_rank	0                             	<class 'int'>       
cost_aggregation	91                            	<class 'str'>       
share_cr  	False                         	<class 'bool'>      
ndepths   	48,32,8                       	<class 'str'>       
depth_inter_r	4,2,1                         	<class 'str'>       
dlossw    	0.5,1.0,2.0                   	<class 'str'>       
cr_base_chs	8,8,8                         	<class 'str'>       
grad_method	detach                        	<class 'str'>       
using_apex	False                         	<class 'bool'>      
sync_bn   	False                         	<class 'bool'>      
opt_level 	O0                            	<class 'str'>       
keep_batchnorm_fp32	None                          	<class 'NoneType'>  
loss_scale	None                          	<class 'NoneType'>  
########################################################################
self.mode train
self.datafile tank
self.cost_aggregation 91
**********netphs:[48, 32, 8], depth_intervals_ratio:[4.0, 2.0, 1.0],  grad:detach, chs:[8, 8, 8]************
*************feature extraction arch mode:fpn****************
start at epoch 0
Number of model parameters: 924303
Let's use 2 GPUs!
mvsdataset kwargs {}
dataset train metas: 27097
mvsdataset kwargs {}
dataset test metas: 7546
Epoch 0:
Epoch 0/30, Iter 0/13548, lr 0.000335, train loss = 250.737, depth loss = 71.649, time = 4.978
Epoch 0/30, Iter 900/13548, lr 0.001000, train loss = 74.928, depth loss = 20.649, time = 0.880
Epoch 0/30, Iter 950/13548, lr 0.001000, train loss = 191.832, depth loss = 54.270, time = 0.934
Epoch 0/30, Iter 1000/13548, lr 0.001000, train loss = 67.584, depth loss = 18.725, time = 0.890
Epoch 0/30, Iter 1050/13548, lr 0.001000, train loss = 85.629, depth loss = 23.770, time = 0.936
Epoch 0/30, Iter 1100/13548, lr 0.001000, train loss = 66.544, depth loss = 18.527, time = 0.836
Epoch 0/30, Iter 1150/13548, lr 0.001000, train loss = 69.701, depth loss = 19.548, time = 0.901
Epoch 0/30, Iter 1200/13548, lr 0.001000, train loss = 84.516, depth loss = 23.106, time = 0.900
Epoch 0/30, Iter 1250/13548, lr 0.001000, train loss = 105.621, depth loss = 29.287, time = 0.939
Epoch 0/30, Iter 1300/13548, lr 0.001000, train loss = 68.994, depth loss = 18.642, time = 0.882
Epoch 0/30, Iter 1350/13548, lr 0.001000, train loss = 120.289, depth loss = 34.106, time = 0.869
Epoch 0/30, Iter 1400/13548, lr 0.001000, train loss = 137.919, depth loss = 38.321, time = 0.899
Epoch 0/30, Iter 1450/13548, lr 0.001000, train loss = 114.671, depth loss = 32.539, time = 0.824
Epoch 0/30, Iter 1500/13548, lr 0.001000, train loss = 28.846, depth loss = 7.745, time = 0.912
Epoch 0/30, Iter 1550/13548, lr 0.001000, train loss = 39.670, depth loss = 10.635, time = 0.864
Epoch 0/30, Iter 1600/13548, lr 0.001000, train loss = 121.271, depth loss = 33.852, time = 0.901
Epoch 0/30, Iter 1650/13548, lr 0.001000, train loss = 83.028, depth loss = 23.212, time = 0.862
Epoch 0/30, Iter 1700/13548, lr 0.001000, train loss = 48.839, depth loss = 12.892, time = 0.905
Epoch 0/30, Iter 1750/13548, lr 0.001000, train loss = 72.978, depth loss = 20.425, time = 0.902
Epoch 0/30, Iter 1800/13548, lr 0.001000, train loss = 128.220, depth loss = 36.023, time = 0.911
current time 20230518_213147
creating new summary file
argv: ['--local_rank=0', '--logdir=./checkpoints', '--dataset=dtu_yao', '--trainpath=/media/yons/10T1/wanglina/cas_training/dtu', '--ndepths', '48,32,8', '--depth_inter_r', '4,2,1', '--dlossw', '0.5,1.0,2.0', '--batch_size', '2', '--eval_freq', '3', '--trainlist', 'lists/dtu/train.txt', '--testlist', 'lists/dtu/test.txt', '--cost_aggregation', '91', '--numdepth=192']
################################  args  ################################
mode      	train                         	<class 'str'>       
model     	mvsnet                        	<class 'str'>       
device    	cuda                          	<class 'str'>       
datafile  	tank                          	<class 'str'>       
dataset   	dtu_yao                       	<class 'str'>       
trainpath 	/media/yons/10T1/wanglina/cas_training/dtu	<class 'str'>       
testpath  	/media/yons/10T1/wanglina/cas_training/dtu	<class 'str'>       
trainlist 	lists/dtu/train.txt           	<class 'str'>       
testlist  	lists/dtu/test.txt            	<class 'str'>       
epochs    	30                            	<class 'int'>       
lr        	0.001                         	<class 'float'>     
lrepochs  	10,12,14:2                    	<class 'str'>       
wd        	0.0                           	<class 'float'>     
batch_size	2                             	<class 'int'>       
numdepth  	192                           	<class 'int'>       
interval_scale	1.06                          	<class 'float'>     
loadckpt  	None                          	<class 'NoneType'>  
logdir    	./checkpoints                 	<class 'str'>       
resume    	False                         	<class 'bool'>      
summary_freq	50                            	<class 'int'>       
save_freq 	1                             	<class 'int'>       
eval_freq 	3                             	<class 'int'>       
seed      	1                             	<class 'int'>       
pin_m     	False                         	<class 'bool'>      
local_rank	0                             	<class 'int'>       
cost_aggregation	91                            	<class 'str'>       
share_cr  	False                         	<class 'bool'>      
ndepths   	48,32,8                       	<class 'str'>       
depth_inter_r	4,2,1                         	<class 'str'>       
dlossw    	0.5,1.0,2.0                   	<class 'str'>       
cr_base_chs	8,8,8                         	<class 'str'>       
grad_method	detach                        	<class 'str'>       
using_apex	False                         	<class 'bool'>      
sync_bn   	False                         	<class 'bool'>      
opt_level 	O0                            	<class 'str'>       
keep_batchnorm_fp32	None                          	<class 'NoneType'>  
loss_scale	None                          	<class 'NoneType'>  
########################################################################
self.mode train
self.datafile tank
self.cost_aggregation 91
**********netphs:[48, 32, 8], depth_intervals_ratio:[4.0, 2.0, 1.0],  grad:detach, chs:[8, 8, 8]************
*************feature extraction arch mode:fpn****************
start at epoch 0
Number of model parameters: 924303
Let's use 1 GPUs!
mvsdataset kwargs {}
dataset train metas: 27097
mvsdataset kwargs {}
dataset test metas: 7546
Epoch 0:
Epoch 0/30, Iter 0/13548, lr 0.000335, train loss = 251.128, depth loss = 71.774, time = 2.209
Epoch 0/30, Iter 50/13548, lr 0.000401, train loss = 251.727, depth loss = 71.513, time = 0.958
Epoch 0/30, Iter 100/13548, lr 0.000468, train loss = 100.350, depth loss = 27.275, time = 0.954
Epoch 0/30, Iter 150/13548, lr 0.000535, train loss = 130.666, depth loss = 37.442, time = 0.912
Epoch 0/30, Iter 200/13548, lr 0.000601, train loss = 148.424, depth loss = 41.346, time = 0.930
Epoch 0/30, Iter 250/13548, lr 0.000668, train loss = 136.643, depth loss = 38.375, time = 0.946
Epoch 0/30, Iter 300/13548, lr 0.000735, train loss = 118.500, depth loss = 33.454, time = 0.898
Epoch 0/30, Iter 350/13548, lr 0.000801, train loss = 98.834, depth loss = 27.561, time = 0.955
Epoch 0/30, Iter 400/13548, lr 0.000868, train loss = 102.932, depth loss = 28.677, time = 0.908
Epoch 0/30, Iter 450/13548, lr 0.000935, train loss = 106.426, depth loss = 29.847, time = 0.920
Epoch 0/30, Iter 500/13548, lr 0.001000, train loss = 196.165, depth loss = 55.773, time = 0.896
Epoch 0/30, Iter 550/13548, lr 0.001000, train loss = 127.126, depth loss = 36.204, time = 0.914
Epoch 0/30, Iter 600/13548, lr 0.001000, train loss = 185.141, depth loss = 51.811, time = 0.843
Epoch 0/30, Iter 650/13548, lr 0.001000, train loss = 150.623, depth loss = 41.802, time = 0.824
Epoch 0/30, Iter 700/13548, lr 0.001000, train loss = 130.569, depth loss = 37.580, time = 0.935
Epoch 0/30, Iter 750/13548, lr 0.001000, train loss = 82.159, depth loss = 22.655, time = 0.906
Epoch 0/30, Iter 800/13548, lr 0.001000, train loss = 94.899, depth loss = 26.761, time = 0.899
Epoch 0/30, Iter 850/13548, lr 0.001000, train loss = 63.922, depth loss = 17.812, time = 0.836
Epoch 0/30, Iter 900/13548, lr 0.001000, train loss = 72.887, depth loss = 19.965, time = 0.883
Epoch 0/30, Iter 950/13548, lr 0.001000, train loss = 215.067, depth loss = 61.147, time = 0.931
Epoch 0/30, Iter 1000/13548, lr 0.001000, train loss = 60.743, depth loss = 16.852, time = 0.867
Epoch 0/30, Iter 1050/13548, lr 0.001000, train loss = 88.788, depth loss = 24.616, time = 0.935
Epoch 0/30, Iter 1100/13548, lr 0.001000, train loss = 40.025, depth loss = 10.703, time = 0.897
Epoch 0/30, Iter 1150/13548, lr 0.001000, train loss = 59.701, depth loss = 16.402, time = 0.908
Epoch 0/30, Iter 1200/13548, lr 0.001000, train loss = 63.181, depth loss = 16.653, time = 0.906
Epoch 0/30, Iter 1250/13548, lr 0.001000, train loss = 91.971, depth loss = 25.581, time = 0.920
Epoch 0/30, Iter 1300/13548, lr 0.001000, train loss = 65.875, depth loss = 17.710, time = 0.907
Epoch 0/30, Iter 1350/13548, lr 0.001000, train loss = 73.359, depth loss = 20.379, time = 0.869
Epoch 0/30, Iter 1400/13548, lr 0.001000, train loss = 132.996, depth loss = 36.716, time = 0.905
Epoch 0/30, Iter 1450/13548, lr 0.001000, train loss = 115.675, depth loss = 32.583, time = 0.875
Epoch 0/30, Iter 1500/13548, lr 0.001000, train loss = 21.662, depth loss = 5.542, time = 0.877
Epoch 0/30, Iter 1550/13548, lr 0.001000, train loss = 40.307, depth loss = 11.012, time = 0.869
Epoch 0/30, Iter 1600/13548, lr 0.001000, train loss = 139.001, depth loss = 38.942, time = 0.883
Epoch 0/30, Iter 1650/13548, lr 0.001000, train loss = 38.291, depth loss = 10.269, time = 0.862
Epoch 0/30, Iter 1700/13548, lr 0.001000, train loss = 45.176, depth loss = 12.267, time = 0.891
Epoch 0/30, Iter 1750/13548, lr 0.001000, train loss = 65.803, depth loss = 18.476, time = 0.861
Epoch 0/30, Iter 1800/13548, lr 0.001000, train loss = 126.413, depth loss = 35.694, time = 0.924
Epoch 0/30, Iter 1850/13548, lr 0.001000, train loss = 79.006, depth loss = 22.278, time = 0.902
Epoch 0/30, Iter 1900/13548, lr 0.001000, train loss = 116.153, depth loss = 31.818, time = 0.897
Epoch 0/30, Iter 1950/13548, lr 0.001000, train loss = 103.309, depth loss = 29.149, time = 0.832
Epoch 0/30, Iter 2000/13548, lr 0.001000, train loss = 68.335, depth loss = 18.694, time = 0.883
Epoch 0/30, Iter 2050/13548, lr 0.001000, train loss = 52.610, depth loss = 14.511, time = 0.890
Epoch 0/30, Iter 2100/13548, lr 0.001000, train loss = 41.240, depth loss = 11.504, time = 0.848
Epoch 0/30, Iter 2150/13548, lr 0.001000, train loss = 84.363, depth loss = 23.822, time = 0.883
Epoch 0/30, Iter 2200/13548, lr 0.001000, train loss = 23.325, depth loss = 6.474, time = 0.891
Epoch 0/30, Iter 2250/13548, lr 0.001000, train loss = 96.441, depth loss = 26.727, time = 0.894
Epoch 0/30, Iter 2300/13548, lr 0.001000, train loss = 91.591, depth loss = 25.490, time = 0.882
Epoch 0/30, Iter 2350/13548, lr 0.001000, train loss = 70.903, depth loss = 19.822, time = 0.852
Epoch 0/30, Iter 2400/13548, lr 0.001000, train loss = 44.639, depth loss = 12.289, time = 0.847
Epoch 0/30, Iter 2450/13548, lr 0.001000, train loss = 19.827, depth loss = 5.446, time = 0.832
Epoch 0/30, Iter 2500/13548, lr 0.001000, train loss = 66.700, depth loss = 18.699, time = 0.937
Epoch 0/30, Iter 2550/13548, lr 0.001000, train loss = 114.201, depth loss = 31.857, time = 0.904
Epoch 0/30, Iter 2600/13548, lr 0.001000, train loss = 129.510, depth loss = 37.037, time = 0.871
Epoch 0/30, Iter 2650/13548, lr 0.001000, train loss = 34.509, depth loss = 9.225, time = 0.863
Epoch 0/30, Iter 2700/13548, lr 0.001000, train loss = 99.999, depth loss = 28.438, time = 0.930
Epoch 0/30, Iter 2750/13548, lr 0.001000, train loss = 74.882, depth loss = 20.932, time = 0.952
Epoch 0/30, Iter 2800/13548, lr 0.001000, train loss = 59.292, depth loss = 15.776, time = 0.861
Epoch 0/30, Iter 2850/13548, lr 0.001000, train loss = 86.326, depth loss = 23.030, time = 0.873
Epoch 0/30, Iter 2900/13548, lr 0.001000, train loss = 48.693, depth loss = 13.579, time = 0.923
Epoch 0/30, Iter 2950/13548, lr 0.001000, train loss = 31.005, depth loss = 8.407, time = 0.895
Epoch 0/30, Iter 3000/13548, lr 0.001000, train loss = 40.413, depth loss = 10.862, time = 0.867
Epoch 0/30, Iter 3050/13548, lr 0.001000, train loss = 44.459, depth loss = 12.412, time = 0.863
Epoch 0/30, Iter 3100/13548, lr 0.001000, train loss = 23.098, depth loss = 6.285, time = 0.824
Epoch 0/30, Iter 3150/13548, lr 0.001000, train loss = 82.030, depth loss = 23.128, time = 0.882
Epoch 0/30, Iter 3200/13548, lr 0.001000, train loss = 23.787, depth loss = 6.276, time = 0.873
Epoch 0/30, Iter 3250/13548, lr 0.001000, train loss = 72.858, depth loss = 20.249, time = 0.907
Epoch 0/30, Iter 3300/13548, lr 0.001000, train loss = 34.774, depth loss = 9.317, time = 0.851
Epoch 0/30, Iter 3350/13548, lr 0.001000, train loss = 45.576, depth loss = 12.781, time = 0.904
Epoch 0/30, Iter 3400/13548, lr 0.001000, train loss = 62.346, depth loss = 17.007, time = 0.887
Epoch 0/30, Iter 3450/13548, lr 0.001000, train loss = 92.404, depth loss = 25.528, time = 0.850
Epoch 0/30, Iter 3500/13548, lr 0.001000, train loss = 50.840, depth loss = 14.077, time = 0.885
Epoch 0/30, Iter 3550/13548, lr 0.001000, train loss = 51.714, depth loss = 14.439, time = 0.886
Epoch 0/30, Iter 3600/13548, lr 0.001000, train loss = 33.521, depth loss = 9.087, time = 0.871
Epoch 0/30, Iter 3650/13548, lr 0.001000, train loss = 115.630, depth loss = 32.649, time = 0.928
Epoch 0/30, Iter 3700/13548, lr 0.001000, train loss = 53.621, depth loss = 14.979, time = 0.860
Epoch 0/30, Iter 3750/13548, lr 0.001000, train loss = 38.066, depth loss = 10.458, time = 0.894
Epoch 0/30, Iter 3800/13548, lr 0.001000, train loss = 45.507, depth loss = 12.017, time = 0.895
Epoch 0/30, Iter 3850/13548, lr 0.001000, train loss = 35.617, depth loss = 9.596, time = 0.899
Epoch 0/30, Iter 3900/13548, lr 0.001000, train loss = 23.124, depth loss = 6.105, time = 0.882
Epoch 0/30, Iter 3950/13548, lr 0.001000, train loss = 76.661, depth loss = 20.405, time = 0.874
Epoch 0/30, Iter 4000/13548, lr 0.001000, train loss = 34.392, depth loss = 8.780, time = 0.908
Epoch 0/30, Iter 4050/13548, lr 0.001000, train loss = 22.008, depth loss = 5.697, time = 0.911
Epoch 0/30, Iter 4100/13548, lr 0.001000, train loss = 20.345, depth loss = 5.316, time = 0.914
Epoch 0/30, Iter 4150/13548, lr 0.001000, train loss = 98.305, depth loss = 27.194, time = 0.848
Epoch 0/30, Iter 4200/13548, lr 0.001000, train loss = 14.612, depth loss = 3.643, time = 0.831
Epoch 0/30, Iter 4250/13548, lr 0.001000, train loss = 68.902, depth loss = 18.880, time = 0.880
Epoch 0/30, Iter 4300/13548, lr 0.001000, train loss = 53.654, depth loss = 14.865, time = 0.933
Epoch 0/30, Iter 4350/13548, lr 0.001000, train loss = 33.771, depth loss = 9.039, time = 0.896
Epoch 0/30, Iter 4400/13548, lr 0.001000, train loss = 29.650, depth loss = 7.980, time = 0.850
Epoch 0/30, Iter 4450/13548, lr 0.001000, train loss = 22.478, depth loss = 6.016, time = 0.868
Epoch 0/30, Iter 4500/13548, lr 0.001000, train loss = 65.942, depth loss = 18.205, time = 0.891
Epoch 0/30, Iter 4550/13548, lr 0.001000, train loss = 13.080, depth loss = 3.418, time = 0.905
Epoch 0/30, Iter 4600/13548, lr 0.001000, train loss = 14.835, depth loss = 3.647, time = 0.876
Epoch 0/30, Iter 4650/13548, lr 0.001000, train loss = 7.708, depth loss = 1.798, time = 0.850
Epoch 0/30, Iter 4700/13548, lr 0.001000, train loss = 47.400, depth loss = 13.162, time = 0.889
Epoch 0/30, Iter 4750/13548, lr 0.001000, train loss = 39.345, depth loss = 10.875, time = 0.916
Epoch 0/30, Iter 4800/13548, lr 0.001000, train loss = 42.329, depth loss = 11.578, time = 0.848
Epoch 0/30, Iter 4850/13548, lr 0.001000, train loss = 26.928, depth loss = 7.117, time = 0.855
Epoch 0/30, Iter 4900/13548, lr 0.001000, train loss = 22.134, depth loss = 6.019, time = 0.811
Epoch 0/30, Iter 4950/13548, lr 0.001000, train loss = 37.841, depth loss = 10.272, time = 0.855
Epoch 0/30, Iter 5000/13548, lr 0.001000, train loss = 40.358, depth loss = 10.672, time = 0.877
Epoch 0/30, Iter 5050/13548, lr 0.001000, train loss = 48.180, depth loss = 12.559, time = 0.919
Epoch 0/30, Iter 5100/13548, lr 0.001000, train loss = 19.418, depth loss = 5.080, time = 0.877
Epoch 0/30, Iter 5150/13548, lr 0.001000, train loss = 76.260, depth loss = 21.410, time = 0.847
Epoch 0/30, Iter 5200/13548, lr 0.001000, train loss = 57.210, depth loss = 15.909, time = 0.940
Epoch 0/30, Iter 5250/13548, lr 0.001000, train loss = 31.964, depth loss = 8.841, time = 0.886
Epoch 0/30, Iter 5300/13548, lr 0.001000, train loss = 16.167, depth loss = 4.099, time = 0.913
Epoch 0/30, Iter 5350/13548, lr 0.001000, train loss = 23.269, depth loss = 6.081, time = 0.891
Epoch 0/30, Iter 5400/13548, lr 0.001000, train loss = 144.707, depth loss = 40.837, time = 0.817
Epoch 0/30, Iter 5450/13548, lr 0.001000, train loss = 49.512, depth loss = 13.472, time = 0.889
Epoch 0/30, Iter 5500/13548, lr 0.001000, train loss = 13.026, depth loss = 3.412, time = 0.894
Epoch 0/30, Iter 5550/13548, lr 0.001000, train loss = 39.060, depth loss = 10.743, time = 0.904
Epoch 0/30, Iter 5600/13548, lr 0.001000, train loss = 50.170, depth loss = 14.023, time = 0.821
Epoch 0/30, Iter 5650/13548, lr 0.001000, train loss = 38.630, depth loss = 10.718, time = 0.913
Epoch 0/30, Iter 5700/13548, lr 0.001000, train loss = 33.385, depth loss = 9.164, time = 0.859
Epoch 0/30, Iter 5750/13548, lr 0.001000, train loss = 63.478, depth loss = 17.801, time = 0.878
Epoch 0/30, Iter 5800/13548, lr 0.001000, train loss = 19.062, depth loss = 5.003, time = 0.834
Epoch 0/30, Iter 5850/13548, lr 0.001000, train loss = 12.766, depth loss = 3.161, time = 0.873
Epoch 0/30, Iter 5900/13548, lr 0.001000, train loss = 36.292, depth loss = 9.770, time = 0.888
Epoch 0/30, Iter 5950/13548, lr 0.001000, train loss = 54.102, depth loss = 14.708, time = 0.876
Epoch 0/30, Iter 6000/13548, lr 0.001000, train loss = 35.854, depth loss = 9.880, time = 0.912
Epoch 0/30, Iter 6050/13548, lr 0.001000, train loss = 26.666, depth loss = 7.088, time = 0.905
Epoch 0/30, Iter 6100/13548, lr 0.001000, train loss = 15.454, depth loss = 4.126, time = 0.892
Epoch 0/30, Iter 6150/13548, lr 0.001000, train loss = 62.635, depth loss = 17.410, time = 0.872
Epoch 0/30, Iter 6200/13548, lr 0.001000, train loss = 114.374, depth loss = 32.225, time = 0.865
Epoch 0/30, Iter 6250/13548, lr 0.001000, train loss = 28.736, depth loss = 7.630, time = 0.910
Epoch 0/30, Iter 6300/13548, lr 0.001000, train loss = 67.500, depth loss = 18.723, time = 0.884
Epoch 0/30, Iter 6350/13548, lr 0.001000, train loss = 101.802, depth loss = 28.790, time = 0.847
Epoch 0/30, Iter 6400/13548, lr 0.001000, train loss = 33.866, depth loss = 9.274, time = 0.888
Epoch 0/30, Iter 6450/13548, lr 0.001000, train loss = 92.175, depth loss = 25.699, time = 0.865
Epoch 0/30, Iter 6500/13548, lr 0.001000, train loss = 61.583, depth loss = 17.082, time = 0.886
Epoch 0/30, Iter 6550/13548, lr 0.001000, train loss = 69.689, depth loss = 19.148, time = 0.851
Epoch 0/30, Iter 6600/13548, lr 0.001000, train loss = 68.513, depth loss = 18.534, time = 0.864
Epoch 0/30, Iter 6650/13548, lr 0.001000, train loss = 52.915, depth loss = 14.449, time = 0.900
Epoch 0/30, Iter 6700/13548, lr 0.001000, train loss = 26.994, depth loss = 7.199, time = 0.882
Epoch 0/30, Iter 6750/13548, lr 0.001000, train loss = 79.927, depth loss = 21.950, time = 0.876
Epoch 0/30, Iter 6800/13548, lr 0.001000, train loss = 99.543, depth loss = 27.417, time = 0.864
Epoch 0/30, Iter 6850/13548, lr 0.001000, train loss = 10.201, depth loss = 2.463, time = 0.844
Epoch 0/30, Iter 6900/13548, lr 0.001000, train loss = 27.168, depth loss = 7.432, time = 0.866
Epoch 0/30, Iter 6950/13548, lr 0.001000, train loss = 48.631, depth loss = 13.326, time = 0.903
Epoch 0/30, Iter 7000/13548, lr 0.001000, train loss = 21.598, depth loss = 5.660, time = 0.879
Epoch 0/30, Iter 7050/13548, lr 0.001000, train loss = 28.471, depth loss = 7.797, time = 0.837
Epoch 0/30, Iter 7100/13548, lr 0.001000, train loss = 8.341, depth loss = 1.963, time = 0.855
Epoch 0/30, Iter 7150/13548, lr 0.001000, train loss = 9.474, depth loss = 2.292, time = 0.842
Epoch 0/30, Iter 7200/13548, lr 0.001000, train loss = 13.015, depth loss = 3.297, time = 0.842
Epoch 0/30, Iter 7250/13548, lr 0.001000, train loss = 60.274, depth loss = 16.826, time = 0.905
Epoch 0/30, Iter 7300/13548, lr 0.001000, train loss = 16.418, depth loss = 4.224, time = 0.843
Epoch 0/30, Iter 7350/13548, lr 0.001000, train loss = 20.217, depth loss = 5.352, time = 0.847
Epoch 0/30, Iter 7400/13548, lr 0.001000, train loss = 46.583, depth loss = 12.881, time = 0.922
Epoch 0/30, Iter 7450/13548, lr 0.001000, train loss = 63.491, depth loss = 17.802, time = 0.948
Epoch 0/30, Iter 7500/13548, lr 0.001000, train loss = 45.594, depth loss = 12.521, time = 0.877
Epoch 0/30, Iter 7550/13548, lr 0.001000, train loss = 61.810, depth loss = 17.052, time = 0.820
Epoch 0/30, Iter 7600/13548, lr 0.001000, train loss = 24.596, depth loss = 6.227, time = 0.843
Epoch 0/30, Iter 7650/13548, lr 0.001000, train loss = 16.716, depth loss = 4.304, time = 0.882
Epoch 0/30, Iter 7700/13548, lr 0.001000, train loss = 26.924, depth loss = 7.352, time = 0.883
Epoch 0/30, Iter 7750/13548, lr 0.001000, train loss = 48.413, depth loss = 13.478, time = 0.875
Epoch 0/30, Iter 7800/13548, lr 0.001000, train loss = 21.882, depth loss = 5.814, time = 0.891
Epoch 0/30, Iter 7850/13548, lr 0.001000, train loss = 18.420, depth loss = 4.689, time = 0.893
Epoch 0/30, Iter 7900/13548, lr 0.001000, train loss = 24.641, depth loss = 6.451, time = 0.803
Epoch 0/30, Iter 7950/13548, lr 0.001000, train loss = 10.663, depth loss = 2.562, time = 0.862
Epoch 0/30, Iter 8000/13548, lr 0.001000, train loss = 68.481, depth loss = 19.127, time = 0.839
Epoch 0/30, Iter 8050/13548, lr 0.001000, train loss = 93.630, depth loss = 26.289, time = 0.910
Epoch 0/30, Iter 8100/13548, lr 0.001000, train loss = 21.149, depth loss = 5.531, time = 0.896
Epoch 0/30, Iter 8150/13548, lr 0.001000, train loss = 34.850, depth loss = 9.660, time = 0.767
Epoch 0/30, Iter 8200/13548, lr 0.001000, train loss = 48.207, depth loss = 13.234, time = 0.864
Epoch 0/30, Iter 8250/13548, lr 0.001000, train loss = 109.783, depth loss = 30.933, time = 0.884
Epoch 0/30, Iter 8300/13548, lr 0.001000, train loss = 87.182, depth loss = 24.464, time = 0.912
Epoch 0/30, Iter 8350/13548, lr 0.001000, train loss = 26.013, depth loss = 7.030, time = 0.856
Epoch 0/30, Iter 8400/13548, lr 0.001000, train loss = 32.978, depth loss = 8.783, time = 0.842
Epoch 0/30, Iter 8450/13548, lr 0.001000, train loss = 48.760, depth loss = 13.578, time = 0.878
Epoch 0/30, Iter 8500/13548, lr 0.001000, train loss = 29.068, depth loss = 7.517, time = 0.844
Epoch 0/30, Iter 8550/13548, lr 0.001000, train loss = 20.093, depth loss = 5.379, time = 0.855
Epoch 0/30, Iter 8600/13548, lr 0.001000, train loss = 256.558, depth loss = 72.592, time = 0.889
Epoch 0/30, Iter 8650/13548, lr 0.001000, train loss = 15.341, depth loss = 3.943, time = 0.851
Epoch 0/30, Iter 8700/13548, lr 0.001000, train loss = 25.431, depth loss = 7.039, time = 0.853
Epoch 0/30, Iter 8750/13548, lr 0.001000, train loss = 24.800, depth loss = 6.624, time = 0.837
Epoch 0/30, Iter 8800/13548, lr 0.001000, train loss = 92.592, depth loss = 24.886, time = 0.863
Epoch 0/30, Iter 8850/13548, lr 0.001000, train loss = 16.781, depth loss = 4.249, time = 0.875
Epoch 0/30, Iter 8900/13548, lr 0.001000, train loss = 66.900, depth loss = 18.476, time = 0.846
Epoch 0/30, Iter 8950/13548, lr 0.001000, train loss = 15.924, depth loss = 4.192, time = 0.848
Epoch 0/30, Iter 9000/13548, lr 0.001000, train loss = 23.781, depth loss = 6.218, time = 0.864
Epoch 0/30, Iter 9050/13548, lr 0.001000, train loss = 27.229, depth loss = 7.365, time = 0.865
Epoch 0/30, Iter 9100/13548, lr 0.001000, train loss = 23.961, depth loss = 6.416, time = 0.862
Epoch 0/30, Iter 9150/13548, lr 0.001000, train loss = 29.835, depth loss = 8.062, time = 0.892
Epoch 0/30, Iter 9200/13548, lr 0.001000, train loss = 59.885, depth loss = 16.568, time = 0.858
Epoch 0/30, Iter 9250/13548, lr 0.001000, train loss = 80.719, depth loss = 22.609, time = 0.861
Epoch 0/30, Iter 9300/13548, lr 0.001000, train loss = 13.841, depth loss = 3.526, time = 0.830
Epoch 0/30, Iter 9350/13548, lr 0.001000, train loss = 18.679, depth loss = 4.950, time = 0.877
Epoch 0/30, Iter 9400/13548, lr 0.001000, train loss = 36.482, depth loss = 9.478, time = 0.831
Epoch 0/30, Iter 9450/13548, lr 0.001000, train loss = 67.840, depth loss = 19.064, time = 0.824
Epoch 0/30, Iter 9500/13548, lr 0.001000, train loss = 27.427, depth loss = 7.334, time = 0.878
Epoch 0/30, Iter 9550/13548, lr 0.001000, train loss = 53.264, depth loss = 14.674, time = 0.868
Epoch 0/30, Iter 9600/13548, lr 0.001000, train loss = 58.436, depth loss = 15.881, time = 0.895
Epoch 0/30, Iter 9650/13548, lr 0.001000, train loss = 28.440, depth loss = 7.567, time = 0.892
Epoch 0/30, Iter 9700/13548, lr 0.001000, train loss = 17.284, depth loss = 4.460, time = 0.887
Epoch 0/30, Iter 9750/13548, lr 0.001000, train loss = 33.806, depth loss = 8.991, time = 0.866
Epoch 0/30, Iter 9800/13548, lr 0.001000, train loss = 35.869, depth loss = 9.702, time = 0.891
